Ms. 607,Chansons. Souvenir du 154ème régiment d’infanterie,1912-1913,1912/1913,français|fre,papier,manuscrit,74 feuillets,240 x 165 mm,"Reliure toile noire, couverture papier illustrée","Recueil manuscrit de chansons populaires recopiées par Maurice Broussard, soldat incorporé au 154ème Régiment d’Infanterie basée à Lérouville, 1912-1913 (fol. 1). Ce recueil contient 43 textes de divers auteurs français du XXe siècle. Paroles de chansons accompagnées de nombreuses illustrations en couleur dans le texte, pour la plupart représentant des portraits de femmes et de couples dans des scènes de la vie amoureuse. Tables des matières (fol. 73-73v). ",Achat au Salon du livre de Lille en 2015 auprès de la Librairie Godon (230 euros),,,"Maurice Broussard|Broussard, Maurice",,,,,,,,,
Ms. 608,Filature et tissage,XXe siècle,1901/2000,français|fre,papier,manuscrit,"146 feuillets ; au f. 146, se trouve un carnet : 8 feuillets",225 x 180 mm ; carnet : 170 x 110 mm,"Reliure toile noire, couverture papier, étiquettes manuscrites.","Document manuscrit relatif à l’activité professionnelle de l’auteur, un contremaître de carderie dans une filature textile roubaisienne. Ce manuscrit tient lieu, dans sa mise en forme, à la fois de manuel technique et de témoignage écrit de l’expérience professionnelle de l’auteur à l’intention des élèves apprentis, des ouvriers cardeurs et des industriels travaillant la laine. Contient des notes de renseignements techniques sur les cardes et le procédé du cardage ; des échantillons de laine collés (fol. 50v-55) ; des schémas explicatifs ainsi qu’un carnet cousu sans couverture intitulé « Barbes et nettoyage déchet » (fol. 146). Ce manuscrit fut vraisemblablement destiné à la publication (fol. 64v-66).",Achat (8 euros),,,,,,,,,,,,
Ms. 609,Album de chansons,Fin XIXe siècle-début XXe siècle,1875/1925,français|fre,papier,manuscrit,96 feuillets (72-96 blancs),240 x 175 mm (format à l’italienne),Reliure toile verte,"Album-recueil de chansons populaires. Ce recueil se compose de textes de diverses natures : chansonnettes, romances, mélodies, air d’opéras, vaudevilles, etc. Contient près de 70 textes composés par divers auteurs français du XIXe siècle. Nombreuses illustrations peintes en couleur dans le texte. ",Achat au Salon du livre ancien de Lille en novembre 2007 auprès de la Librairie Legry de Lambersart (180 euros),,,,,,,,,,,,
Ms. 610,Album de dessin. 1ère normale,Vers 1940,1930/1950,français|fre,papier,manuscrit,44 feuillets (42-43 blancs),300 x 210 mm (format à l’italienne),"Demi-reliure toile beige, plats papiers, étiquette manuscrite ","Album de dessins. Cahier de cours de l’élève Suzanne Hanquet, annoté par son professeur. L’enseignement porte sur l’étude des tendances de la mode des années 1940. Échantillons de tissus (fol. 2). L’album comprend de nombreuses illustrations. Études de femmes et d’enfants, dessinées à l’aquarelle et exécutées de mémoire, d’après nature ou lors de défilés de mode. Nombreux croquis morphologiques en pied, en portrait et en détails : mains, têtes, attitudes. Contient aussi des dessins de composition et de création de divers empiècements de vêtements et d’accessoires (robes, manteaux, jupes, chapeaux). ",Achat au Salon du livre ancien de Lille en 2015 auprès de la Librairie Calliope (350 euros),,,"Suzanne Hanquet|Hanquet, Suzanne",,,,,,,,,
Ms. 611,Catéchisme des filles. Paroisse Sainte Élisabeth,1857,1857,français|fre,papier,manuscrit,231 feuillets (120v-140v blancs),275 x 220 mm,"Reliure chagrin vert, dos long orné, plats décorés de fleurons ornementaux, double filets dorés, tranches dorées ","Cours de morale et d’instruction religieuse destinés à des jeunes filles, élèves pensionnaires de diverses institutions roubaisiennes. La catéchèse était instruite par plusieurs ecclésiastiques : l’abbé Cabrilié, l’abbé Rithouret et l’abbé Pioger L’ouvrage fut rédigé à plusieurs mains par ces mêmes jeunes filles dont on retrouve les noms et les signature en fin de chaque leçon. L’instruction prenait la forme de questions en préambule suivies d’une analyse explicative sur la doctrine chrétienne, les dogmes catholiques, les différents sacrements et commandements de l’Église. Chaque leçon se terminait par la rédaction de résolutions et d’intentions de prière. Nombreuses calligraphies à l’encre noire en tête d’une nouvelle leçon. De nombreux dessins en couleur (sanguine, lavis, aquarelle), protégés par une feuille de calque, illustrent le volume et représentent des scènes bibliques du Nouveau Testament (fol. 14, 95, 147, 217, 226). En première partie d’ouvrage : Fol. 1-40 : « Symbole des apôtres ; Attributs de dieu ; Mystères de l’incarnation ; Figure prophétique du messie ; Vie publique de Jésus-Christ ; Institution de l’église ; Les fins dernières de l’Homme ». Fol. 41-102 : « Catéchisme sur les sept sacrements ». Fol. 102-120 : « Suppléments au cours de morale », leçon qui fait suite au cours de morale se trouvant du folio 141 à 213. En seconde partie d’ouvrage : Fol. 141-213 : « Cours de Morale ou explication des commandements de Dieu et de l’Église »",Achat en 2010 auprès de la Librairie La Voie Au Chapitre (650 euros),,,,,,,,,,,,
Ms. 612,Dormez en paix : le salaud est mort ! : roman,XXe siècle,1901/2000,français|fre,papier,dactylographie,299 feuillets (pagination de l’auteur),280 x 215 mm ,Demi-reliure toile simili-cuir rouge,Ouvrage dactylographié avec annotations et corrections manuscrites de l’auteur. Le titre au dos de l’ouvrage diffère de celui de la page de titre : « Dormez en paix : il est crevé ». Épigraphe au folio 2. Contient une carte de visite de remerciements des époux André Bas (22 août 1934) ; une lettre manuscrite d’un expéditeur inconnu (29 mai 1842).  ,Ce manuscrit provient du Fonds Octave Vanderkerkhove de la Médiathèque de Roubaix,,,"Octave Vandekerkhove|Vandekerkhove, Octave",,,,,,,,,
Ms. 613,"Carnet de souvenirs d’un éclaireur Scouts de France, 1944-1948",1944-1948,1944/1948,français|fre,papier,manuscrit$dactylographie$imprimé,76 feuillets,240 x 160 mm,"Demi-reliure toile simili-cuir noir, tranches jaspées","Journal de bord d’un patrouilleur-éclaireur des Scouts de France. François Denis, jeune « patrouilleur des Écureuils de la 3e Wattrelos de la troupe de Guy de Larigaudie » a restitué régulièrement dans son cahier ses souvenirs des divers événements scouts auxquels il a participé entre 1944 et 1948. Il évoque notamment en détails les réunions préparatoires relatives au rassemblement régional du Grand Camp Scout de juin 1946 (choix de l’emblème, cri de patrouille, jeux). Comprend de nombreuses illustrations couleurs. Rassemble différents types de documents : correspondance de lettres et de cartes postales envoyées par sa famille, photographies de la troupe de patrouilleurs lors de leurs promesses d’éclaireurs ; invitations imprimées pour la grande kermesse scout (mai 1946) ; exemplaire du quotidien d’information « Scout-Express » détaillant les activités du grand camp (8 juin 1946) ; coupure de presse du journal « Scout » destiné aux chefs de patrouille (avril 1948).  ",Achat de la Collection F. Bohée en janvier 2012 (400 euros) ,,,"François Denis|Denis, François",,,,,,,,,
Ms. 614,Souvenirs d’un ancien petit garçon. Les George Motte en 1895,1950,1950,français|fre,papier,dactylographie,67 feuillets,205 x 155 mm,"Livre broché, titre imprimé sur le plat supérieur","Récit biographique et documenté relatif à la vie privée de la famille Motte-Delattre, famille roubaisienne d’industriels textiles. Le récit débute le 21 avril 1882 et se termine en août 1890. En invoquant ses souvenirs d’enfance et de jeunesse et des scènes de sa vie de famille, l’auteur retrace à la fois les origines et l’histoire de sa famille. Il brosse également le portrait des chefs de la branche familiale Motte-Delattre ainsi que leur cadre de vie. Contient une note explicative dactylographié rédigée par l’auteur Gaston Motte (fol. 2). Table des matières (fol. 3). Comprend des documents divers : photographies imprimées ; feuillets dactylographiés intercalés dont le texte comportant des modifications est à substituer à certains paragraphes du récit. Addenda imprimé sur un feuillet isolé inséré dans l’ouvrage. Exemplaire sans édition avec annotations et corrections manuscrites de l’auteur. Voir aussi le Ms. 615.",Achat au salon du livre de Lille en novembre 2008 auprès de la Librairie Temps Livres (80 euros),,,"Gaston Motte|Motte, Gaston",,,,,,,,,
Ms. 615,Souvenirs d’un ancien petit garçon. Les George Motte en 1895,1950,1950,français|fre,papier,dactylographie,64 feuillets,205 x 150 mm,"Emboîtage toile rouge, titre imprimé sur le plat supérieur","Récit biographique et documenté relatif à la vie privée de la famille Motte-Delattre, famille roubaisienne d’industriels textiles. Le récit débute le 21 avril 1882 et se termine en août 1890. En invoquant ses souvenirs d’enfance et de jeunesse et des scènes de sa vie de famille, l’auteur retrace à la fois les origines et l’histoire de sa famille. Il brosse également le portrait des chefs de la branche familiale Motte-Delattre ainsi que leur cadre de vie. En page de titre, on peut lire une note manuscrite : « La jeunesse est une vie dans la vie » suivie d’une note explicative dactylographié rédigée par l’auteur Gaston Motte (fol. 2). Table des matières (fol. 3). En fin d’ouvrage, on lit la note manuscrite : « Adieu, jeunesse ». Exemplaire sans édition avec annotations et corrections manuscrites de l’auteur. Double du Ms. 614. ",Don. Inscrit dans le registre des entrées sous le numéro d’inventaire 51808,,,"Gaston Motte|Motte, Gaston",,,,,,,,,
Ms. 616,Déclamations : recueil de poésies,1906-1908,1906/1908,français|fre$flamand|nld,papier,manuscrit,40 feuillets (13-19 ; 36-40 blancs),225 x 145 mm,Emboîtage simili-toile noir,Recueil manuscrit de poèmes et de textes en prose. A appartenu à l’élève Esther Schouppe (4ème année d’études). Le recueil démarre le 16 octobre 1906 et se termine le 20 novembre 1908. Première partie du carnet : textes et poèmes flamands (fol. 1-12v). Seconde partie du carnet : poèmes français et textes de composition sur les vœux du mariage (fol. 20-35). Les textes recopiés dans ce carnet furent composés à l’origine par divers poètes et écrivains flamands et français du XIXe siècle. On retrouve des textes d’auteurs tels que ceux de Hilda Ram ou Frédéric Soulié. On peut lire également divers textes pieux imprégnés d’une vision du monde catholique.,Provenance inconnue,,,"Esther Schouppe|Schouppe, Esther",,,,,,,,,
Ms. 617,"Cahier d’un élève allemand, 1942-1943",1942-1943,1942/1943,allemand|ger,papier,manuscrit,66 feuillets (17-55 ; 5 7-66),215 x 170 mm,Brochure souple,"Recueil manuscrit de textes divers recopiés par Robert Baert, un élève allemand. Le carnet contient des textes de natures diverses (dictées, poèmes, chansons) et sur différents sujets : les divinités de la mythologie nordique et germanique (Wodan, Thor, Walhalla, Loki, Baldur) ; biographies d’écrivains, de poètes romantiques allemands du XVIIIe et du XIXe siècle (Goethe, Schiller, Uhland, Heinrich Heine). Contient des textes sur l’Allemagne, sa capitale Berlin, son histoire, sa géographie, son peuple et sa vie économique. Contient également en majorité en fin de cahier, des chansons de temps de guerre. Pour chaque titre, le parolier et le compositeur de la chanson sont mentionnés. Le recueil démarre le 20 avril 1942 et se termine le 22 février 1943. Tables des matières (fol. 56 ).  ",Provenance inconnue,,,"Robert Baert|Baert, Robert",,,,,,,,,
Ms. 618,Extraits de poésies,1851-1890,1851/1890,français|fre,papier,manuscrit,"94 feuillets (40-48 ; 88-94 blancs) ; au f. 49, se trouve un carnet non relié : 36 feuillets (19-36 blancs)",230 x 175 mm ; carnet : 210 x 135 mm,"Demi-reliure toile simili-cuir rouge à coins, tranches rouges","Recueil manuscrit de poèmes et de chansons recopiés par Mme L. Pollet-Bleuez. Le cahier est la retranscription exacte d’un recueil de poésies et de chansons composées par Henri Dubar-Ferrier et intitulé à l’origine « Autographes de Henri Dubar-Ferrier. Extraits de poésie ». Ce recueil se compose de textes de diverses natures : des compliments, des romances, de courts dialogues, des légendes, des récits humoristiques, des prières et invocations religieuses. Les textes, datés et circonstanciés, ont pour la plupart été chantés à l’occasion des mariages des membres de sa famille et de ses enfants (fol. 3-32) et pour diverses autres circonstances (fol. 32v-39). La seconde partie du recueil contient un écrit composé par l’auteur et intitulé « A mes petits-enfants », 20 juin 1889 (fol. 49-81). L’auteur, s’adressant à ses petits-enfants, évoque ses souvenirs concernant sa rencontre et sa vie avec son épouse Louise-Adélaide Ferrier (1822-1890). Nombreux poèmes en hommage à son épouse « A Louise » ou « A ma femme », datés et numérotés, évoquent sa personnalité et ses qualités. Au fol. 49, se trouve un carnet non relié au recueil, intitulé : « Pélerinage de Rome du 5 au 26 avril 1888 ». Contient le récit quotidien et détaillé d’un voyage à Rome et notamment la description des visites des églises de la ville. Voir aussi Ms. 623",Achat au Salon du livre de Lille en novembre 2009 auprès de la Librairie Letellier (100 euros),,,"Henri Dubar Ferrier|Dubar Ferrier, Henri$L. Pollet-Bleuez|Pollet-Bleuez, L.",,,,,,,,,
Ms. 619,Livre d’heures,1890,1890,français|fre$latin|lat,papier,manuscrit,53 feuillets,180 x 145 mm,"Reliure maroquin marron foncé, cinq nerfs au dos, titre à l’or au deuxième caisson, tranches dorées. Coiffes, champs ornés. Encadrements ornés des contreplats.","Ouvrage liturgique comprenant l’ensemble des prières qui composent une messe. Pièce remarquable. Au fol. 1, il est écrit : « Livre d’heures dessiné d’après des manuscrits du XIVe, XVe et XVIe siècles par J. Van Driesten, peintre héraldique. Desgodets et Gérard Editeur à Paris. 10, rue du Vieux Colombier ». Titres des prières ornés de grandes lettrines peintes. Les feuillets de texte suivants sont décorés d’encadrements floraux à la manière des manuscrits anciens : « Ordinaire de la messe » (fol. 4) ; « Cérémonies du mariage » (fol. 34) ; « Messe du mariage » (fol. 38) ; « Souvenirs de famille » (fol. 52-53). Illustrations pleine page (fol. 3, 4, 37-39). Illustrations, encadrements, lettrines et ornements exécutés par Joseph-Emmanuel Van Driesten (1853-1923), peintre d’histoire, héraldiste et miniaturiste lillois.  ",Achat (900 euros),,,"Joseph-Emmanuel Van Driesten|Van Driesten, Joseph-Emmanuel",,,,,,,,,
Ms. 620,Mémoires de guerre : 1939-1940,1939-1940,1939/1940,français|fre,papier,manuscrit,60 feuillets (38-60 blancs),170 x 110 mm,Reliure piqûre,"Journal de guerre manuscrit par Michel Declerck, soldat de l’armée française, incorporé au 4e régiment de dragons portés (RDP). L’auteur débute son récit quotidien par la description de l’État-major militaire, des trois bataillons et des quatorze escadrons qui composent son régiment (fol. 2-5). Après un court résumé relatif aux événements survenus suite à la mobilisation générale de septembre 1939, il poursuit son historique des faits à partir du 10 mai 1940, date de l’entrée en campagne du 4e RDP. Son récit de la bataille, rédigé au jour le jour, s’achève le 8 juillet 1940, date de la signature de l’armistice entre la France et l’Allemagne et la cessation des hostilités, ce qui entraînera la dissolution du 4e RDP (fol. 8-37v).  ",Achat au salon du livre de Lille en novembre 2008 auprès de la Librairie Godon (300 euros),,,"Michel Declerck|Declerck, Michel",,,,,,,,,
Ms. 621,Naissance d’un région : le Nord,1967,1967,français|fre,papier,dactylographie$manuscrit,20 feuillets,280 x 235 mm,Demi-reliure toile marron à coins,"Mise au net dactylographiée d’un travail de recherche portant sur le développement de la première révolution industrielle dans la région du Nord Pas-de-Calais au XIXe siècle. L’auteur évoque plusieurs thèmes relatifs à la période couvrant les années 1815 à 1900 : les changements survenus sur le plan socio-économique (libéralisme économique, prolétariat ouvrier, émergence d’une législation sociale) ; les grandes mutations occasionnées sur le terrain politique (essor du socialisme, développement du syndicalisme ouvrier). Plan détaillé de l’ouvrage (fol. 2). L’étude est suivie des notes de recherche manuscrites de l’auteur (fol. 14-20). ",Provenance inconnue,,,"Pierre Pierrard|Pierrard, Pierre",,,,,,,,,
Ms. 622,Cours de décorative,1909-1910,1909/1910,français|fre,papier,manuscrit,30 feuillets,270 x 220 mm,Reliure simili-toile noir,"Cours de composition décorative du professeur M. Bouzin, recueilli par l’élève Jules Deffrenne. L’enseignement porte sur l’étude des coloris, du dessin et sur la forme des motifs. Comprend des travaux pratiques sous la forme d’exercices de composition décorative. Nombreux schémas en couleur. Contient également divers documents en fin de cahier : pochoirs peints, chutes de patrons de tissage et une note d’explication manuscrite relative à la confection d’un tissu pour robe pour le concours de fin d’année (1909-1910).",Provenance inconnue,,,"Bouzin|Bouzin$Jules Deffrenne|Deffrenne, Jules",,,,,,,,,
Ms. 623,Lointains souvenirs d’un vieux roubaisien,Vers 1890,1880/1900,français|fre,papier,dactylographie,275 feuillets,300 x 240 mm,"Feuillets volants maintenus dans une chemise cartonnée, inscription manuscrite sur le plat supérieur","Document biographique relatif à la vie privée et à la vie familiale de Henri Dubar-Ferrier (1821-1893). Rédigé d’après son récit manuscrit, ce document est aussi un témoignage de la vie quotidienne du Roubaix du XIXe siècle. L’auteur, s’adressant à ses petits-enfants, évoque de mémoire ses souvenirs d’enfance, sa vie d’adulte ainsi que sa rencontre et sa vie de famille avec son épouse Louise-Adélaide Ferrier (1822-1890). Le volume se compose de plusieurs chapitres : Variétés (fol. 1-43) ; La guerre de 1870 (fol. 44-62) ; A l’école primaire supérieure. Louis Decottignies et Gustave Nadaud (fol. 63-75) ; Poésies (fol. 76-162) ; Extraits de journaux (fol. 163-201) ; Bonne Maman Dubar, née Louise-Adélaide Ferrier (fol. 203-249) ; Vie intime. Retraites d’homme. Questions sociales. Pèlerinage à Rome (fol. 250-275). Contient la partition d’une chanson : « Mon gros, mon oncle » (fol. 202). Ouvrage dactylographié avec des corrections manuscrites. Voir aussi Ms. 618.",Provenance inconnue,,,"Henri Dubar Ferrier|Dubar Ferrier, Henri",,,,,,,,,
Ms. 624,Carnet d’atelier du centre d’apprentissage des chemins de fer du Nord,1937-1938,1937/1938,français|fre,papier,dactylographie,93 feuillets,275 x 225 mm,"Reliure toile noire, étiquette sur le plat supérieur","Carnet d’atelier manuscrit de l’apprenti Marcel Mallerg en 3e année de formation spécialité ajusteur, au Centre d’Apprentissage de Tergnier pour les Chemins de fer du Nord. Spécimen donnant les indications sur la bonne tenue du carnet (fol. ). Contient des fiches d’exécution relatives aux divers exercices pratiques (ajustage, usinage, etc.) exécutés par l’apprenti. Nombreux dessins et croquis très détaillés en vis à vis des fiches d’exécution avec des indications complémentaires sur les procédés techniques et le temps passé pour la réalisation de chaque croquis. La seconde partie du carnet comprend les rapports des stages effectués par l’apprenti dans les différentes sections de l’usine. L’ensemble du carnet est annoté par le chef d’atelier et le directeur des cours, et signé par les parents de l’élève.     ",Don de André Grelle,,,"Marcel Mallerg|Mallerg, Marcel",,,,,,,,,
Ms. 625,"Les discours du Général Charles de Gaulle, 1940-1943",1943,1943,français|fre,papier,dactylographie$manuscrit,98 feuillets,270 x 200 mm,"Demi-reliure toile simili-cuir, titre à l’or au dos","Recueil des discours du Général de Gaulle prononcés pendant la Seconde Guerre mondiale. Premier exemplaire issu d’un tirage spécial. Ex-libris au revers de la reliure portant le nom du propriétaire, M. André Planchet, bibliophile de Lys-lez-Lannoy. On lit sur la page de titre la mention suivante : « Sept exemplaires seulement, numérotés 1 à 7, ont été reliés pour être dédicacés par le Général de Gaulle ». Contient une lettre signée par le Secrétariat particulier du Général de Gaulle, datée du 8 mai 1970, adressée à M. Planchet indiquant ne pouvant donner suite à sa demande de dédicace des exemplaires. Au folio 2-3, on peut lire une dédicace manuscrite du propriétaire précisant l’origine de ce recueil : « «Discours dactylographiés et reproduits en cent vingt-cinq exemplaires, à l’aide d’un duplicateur par un groupe de résistants de Lille dont les noms figurent ci-dessous. Travail exécuté sous l’occupation allemande en décembre 1943. Relié la semaine de la libération de Lille dans les ateliers de Paul Hage ». Portrait du Général de Gaulle (fol. 1) ; Discours (fol. 4-96) ; Table des matières (fol. 97-98).",Provenance inconnue,,,"Charles de Gaulle|Gaulle, Charles de",,,,,,,,,
Ms. 626,Histoire du Syndicat mixte de l’industrie roubaisienne,1899,1899,français|fre,papier,dactylographie,111 feuillets,275 x 220 mm,"Feuillets simples agrafés, couverture papier","Rapport dactylographié sur l’histoire du Syndicat mixte de l’industrie roubaisienne, mouvement social chrétien, fondé en 1888 par Henri-Jules-Joseph Bayart-Dubar. Exposé détaillé sur le fonctionnement du Syndicat, les œuvres qu’il a fondées et les résultats obtenus. Le Syndicat avait pour but « d’assurer une union cordiale entre ses membres, patrons, employés et ouvriers en associant leurs efforts pour la sauvegarde des intérêts moraux, professionnels et économiques ». Le rapport, composé de 21 chapitres, est un témoignage des aspects de la vie industrielle de l’époque. Au fol. 1, on lit une dédicace de l’auteur Alexandre Faidherbe Père à la mémoire du fondateur de l’institution.",Provenance inconnue,,,"Alexandre Faidherbe|Faidherbe, Alexandre",,,,,,,,,
Ms. 627,Carnets d’une militante du Mouvement de libération des femmes,1970-1981,1970/1981,français|fre,papier,manuscrit,132 feuillets (carnet 1) ; 42 feuillets (carnet 2) ; 40 feuillets (carnet 3),210 x 160 mm,"Reliure en spirale. Demi-reliure toile rouge à coins, plats papiers noirs  ","Ensemble de trois carnets manuscrits. L’auteur, anciennement bibliothécaire à la Médiathèque municipale de Roubaix, fut une militante du Mouvement de libération des femmes (MLF), mouvement féministe français fondé dans les années 70 luttant pour une amélioration de la condition et des droits des femmes dans la société. Contient essentiellement des prises de notes et des comptes-rendus de réunions, d’assemblées générales et de groupes de réflexion auxquels a participé l’auteur de 1970 à 1981. Comprend également de nombreux documents imprimés relatifs au Mouvement : paroles de  « l’hymne du M.L.F » ; tract des « Assemblées des femmes contre la misogynie. MLF. 1er mai 1981 » ; copies de nombreuses coupures de presse « Questions féministes, n° 7 et Psychanalyse et Politique ; retranscription imprimée du débat radiophonique « Féminisme ou lutte de femmes », avec Benoîte Groult enregistré le 6 décembre 1975 à la Maison pour tous et retransmis par France Culture. ",Don de l’auteur en 1987,,,"Anne-Laure Dodey|Dodey, Anne-Laure",,,,,,,,,
Ms. 628,Répertoire chronologique des auteurs français et leurs œuvres principales jusqu’en 1849. Tome I,1966,1966,français|fre,papier,dactylographie,350 feuillets (pagination de l’auteur : 1-349 p.),280 x 210 mm,"Reliure toile simili-cuir vert, titre à l’or au dos",Ouvrage dactylographié avec annotations et corrections manuscrites de l’auteur. Bibliographie (fol. 349-350). Exemplaire signé en fin de volume. ,Don de Mme Suzanne Vallez. Inscrit dans le registre des entrées sous le numéro d’inventaire 36 847,,,"Suzanne Denise Vallez|Vallez, Suzanne Denise",,,,,,,,,
Ms. 629,Répertoire chronologique des auteurs français et leurs œuvres principales jusqu’en 1849. Tome II,1966,1966,français|fre,papier,dactylographie,350 feuillets (pagination de l’auteur : 350-698 p.),280 x 210 mm,"Reliure toile simili-cuir vert, titre à l’or au dos",Ouvrage dactylographié avec annotations et corrections manuscrites de l’auteur. Le second volume continue la pagination d’origine du premier. Bibliographie (fol. 349-350). Exemplaire signé en fin de volume. ,Don de Mme Suzanne Vallez. Inscrit dans le registre des entrées sous le numéro d’inventaire 36 848,,,"Suzanne Denise Vallez|Vallez, Suzanne Denise",,,,,,,,,
Ms. 630,Registre de comptes de la famille Mulliez-Scalabre,1880-1919,1880/1919,français|fre,papier,manuscrit,131 feuillets,280 x 200 mm,"Demi-reliure toile simili-cuir, coins parchemin","Registre de tenue de comptes journaliers ayant appartenu à l’industriel filateur Paul Louis Mulliez (1855-1918) et à son épouse Blanche Rose Élise Scalabre (1861-1924). Le registre reprend en détails l’ensemble des mouvements financiers pour la période du 30 septembre 1880 au 12 novembre 1919. On peut y lire, par exemple, les apports financiers respectifs des époux suite à leur mariage, le 9 octobre 1880 ; les bénéfices (loyers, actions détenues) et les dépenses effectuées tout au long de leur vie maritale ; les frais relatifs à l’intendance de la maison et aux dépenses du ménage ; les prêts octroyés à divers proches (Motte, Desmaretz-Wattrelot) ; l’inventaire avec estimation du mobilier de leur habitation (1898) ; le montant des bénéfices et pertes de l’établissement Filature de coton Mulliez Frères. Étiquette commerciale au revers de la reliure. ",Provenance inconnue,,,"Paul Mulliez Scalabre|Mulliez Scalabre, Paul$Blanche Rose Élise Mulliez Scalabre|Mulliez Scalabre, Blanche Rose Élise",,,,,,,,,
Ms. 631,La lecture à Roubaix au milieu du XIXe siècle : le commerce du livre 1826-1866,1995,1995,français|fre,papier,manuscrit,101 feuillets,300 x 210 mm,Reliure piqûre,"Mise au net manuscrite d’un travail de recherche universitaire relatif au mémoire de DEA en Sciences de l’information et de la documentation. Ces cahiers de travail ont appartenu à M. Bernard Grelle, ancien directeur de la Médiathèque de Roubaix. Le manuscrit, un ensemble de deux cahiers grands formats, constitue une étape préparatoire précédant la version la plus aboutie du texte définitif dont le sujet porte sur le commerce des imprimés à Roubaix au XIXe siècle. Annotations et corrections manuscrites de l’auteur. Nombreux documents imprimés collés dans le texte. Une version remaniée est consultable à la Médiathèque de Roubaix (Collection Les cahiers de Roubaix, n° 7, 2002). ",Don de Bernard Grelle,,,"Bernard Grelle|Grelle, Bernard",,,,,,,,,
Ms. 632,Le colportage au XIXe siècle,1995,1995,français|fre,papier,manuscrit,43 feuillets,320 x 240 mm,Reliure piqûre,"Mise au net manuscrite d’un travail de recherche universitaire portant sur l’histoire des livres de colportage en France et à Roubaix au XIXe siècle. Ce cahier de travail a appartenu à M. Bernard Grelle, l’ancien directeur de la Médiathèque de Roubaix. Le manuscrit constitue une étape préparatoire précédant la version la plus aboutie du document. Annotations et corrections manuscrites de l’auteur. Nombreux documents imprimés collés dans le texte.",Don de Bernard Grelle,,,"Bernard Grelle|Grelle, Bernard",,,,,,,,,
Ms. 633,Cours de matières textiles,XXe siècle,1901/2000,français|fre,papier,manuscrit,66 feuillets,270 x 195 mm,"Demi-reliure toile rouge, plats simili-cuir noir, étiquette manuscrite sur le plat supérieur","Cours de matières textiles de l’École Supérieure du Textile recueilli par l’élève Hepournel. L’enseignement porte sur les pays producteurs des matières premières (laine, coton, lin), les différentes variétés commerciales et les diverses opérations de transformations des matières textiles. Contient de nombreux schémas explicatifs. ",Provenance inconnue,,,Hepournel|Hepournel,,,,,,,,,
Ms. 634,Cahier de chansons d’un soldat,1935-1937,1935/1937,français|fre,papier,manuscrit,77 feuillets,260 x 200 mm,"Reliure toile marron, étiquette manuscrite sur le plat supérieur","Recueil manuscrit de paroles de chansons appartenant au dénommé Constant Buret, soldat français à la caserne de son régiment, « classe 34-B, matricule 3276 ». Les textes des chansons, composés à l’origine par divers chansonniers français, sont illustrés de nombreux dessins érotiques en couleur, signés et datés par l’auteur (1935-1937). Ces dessins représentent pour la plupart des scènes de couples ou des portraits de femmes dénudées ou dans des postures érotiques. Au verso de la page de couverture, signature des camarades de caserne de Constant Buret. ",Achat (150 euros),,,"Constant Buret|Buret, Constant",,,,,,,,,
Ms. 635,Recueil de chansons : souvenirs du 1er régiment des zouaves d’Alger,1912-1913,1912/1913,français|fre,papier,manuscrit,89 feuillets,230 x 175 mm,"Demi-reliure toile bleue à coins, motifs floraux gaufrés sur les mors plats, tranches rouges","Recueil manuscrit de chansons appartenant au dénommé Georges Descamps, soldat du 1er régiment de zouaves à Alger. Au verso de la page de titre, on lit la dédicace suivante : « Cahier de chansons fait par M. Descamps Georges pour Melle Descamps Marie-Ange. Souvenirs du 1er Zouaves. Fait à Alger, le 29 décembre 1912, fini le 27 février 1913 ». Contient une tables des matières (fol. 87v-88v ). ",Achat (80 euros),,,"Georges Descamps|Descamps, Georges",,,,,,,,,
Ms. 636,"Récits, chansons et poèmes",Fin XIXe siècle,1875/1900,français|fre,papier,manuscrit,75 feuillets,260 x 180 mm,"Reliure toile beige, étiquette manuscrite sur le plat supérieur","Recueil manuscrit de poèmes et de chansons patriotiques. Le carnet a appartenu à Léon Beausire. Les textes recopiés dans ce carnet furent composés à l’origine par divers auteurs, poètes, chansonniers, romanciers et dramaturges français du XIXe siècle. Contient également des documents imprimés et un répertoire des textes en fin de carnet. Étiquette sur le contreplat",Achat (200 euros),,,"Léon Beausire|Beausire, Léon",,,,,,,,,
Ms. 637,Cahier de travaux de couture,1912,1912,français|fre,papier,manuscrit,11 feuillets,270 x 175 mm,"Cahier unique cousu, couverture papier, plat supérieur imprimé",Cahier de cours de couture de l’Institution Ségur appartenant à l’élève Germaine Ségard. Cahier de présentation des travaux scolaires de l’année 1912. Contient des exercices pratiques de travaux de couture sous la forme de nombreux empiècements de tissus collés.,Achat Thiébaut en mars 2002,,,"Germaine Ségard|Ségard, Germaine",,,,,,,,,
